"field_name","field_description"
"\"MaxAbsorbanceWavelength\",\"The maximum wavelength that the detector's monochromator can be set to for absorbance filtering.\""
"\"MaxAbsorbance\",\"The maximum 10 mm-equivalent absorbance that this model instrument can read within a manufacturer reported linear range.\""
"\"MaxAbsorbance\",\"The maximum absorbance that this model instrument can read within a manufacturer reported linear range.\""
"\"MaxAcceleratingVoltage\",\"The maximum voltage the instrument can apply to the target plate to accelerate the ions.\""
"\"MaxAcceleration\",\"The maximum flow rate acceleration at which the pumping speed can safely be increased for this model of instrument.\""
"\"MaxAcceleration\",\"The maximum flow rate acceleration at which to ramp the speed of pumping solvent for this column.\""
"\"MaxAnalytes\",\"Maximum number of analytes that can be detected and quantified for one sample in one capillary ELISA experiment.\""
"\"MaxAntiStokesScatteringFrequency\",\"The highest energy anti-Stokes scattering that the detector is capable of recording, reported as the Raman shift.\""
"\"MaxArgonPressure\",\"Maximum argon gas pressure measured at the inlet allowed by the instrument during operation.\""
"\"MaxAssayVolume\",\"Maximal assay volume for capillary electrophoresis.\""
"\"MaxAuxillaryGasFlowRate\",\"Maximum flow rate of argon gas to generate plasma.\""
"\"MaxBackPressure\",\"The maximum pressure before waste outlet -- affects the density of the mobile phase and the flow split to the mass spectrometer.\""
"\"MaxBeamPower\",\"The maximum beam power this instrument uses to generate the diffracting radiation.\""
"\"MaxCO2Pressure\",\"The maximum CO2 source pressure supplied into the instrument acceptable for operation.\""
"\"MaxCO2\",\"Maximum Carbon dioxide percentage the incubator can maintain.\""
"\"MaxCameraHeight\",\"The maximum height along the foam column at which the camera used by the Foam Imaging Module can be positioned during the experiment.\""
"\"MaxCapillaryTemperature\",\"The maximum temperature that the capillary array can reach during an experiment.\""
"\"MaxCarbonDioxideLevel\",\"Maximum level of carbon dioxide in the atmosphere inside the plate reader that can be maintained.\""
"\"MaxCartridgeCapDiameter\",\"The maximum diameter of cartridge cap that can be attached to the instrument. Set by the distance between the cartridge cap connectors and the body of the instrument.\""
"\"MaxCentrifugationForce\",\"The maxiumum relative centrifugal force this plate is capable of withstanding.\""
"\"MaxCentrifugationForce\",\"The maxiumum relative centrifugal force this vessel is capable of withstanding.\""
"\"MaxCollisionCellGasFlowRate\",\"Maximum flow rate of gas that can be delivered to the collision cell.\""
"\"MaxCollisionCellGasPressure\",\"Maximum CollisionCellGas pressure measured at the inlet allowed by the instrument during operation.\""
"\"MaxCollisionCellLensVoltage\",\"Maximum voltage applied in the collision cell to focus ionized sample particles.\""
"\"MaxCollisionEnergy\",\"For the Mass Spectrometer that has tandem mass spectrometry feature, this value indicate the highest value of voltage that could be applied to the collision cell.\""
"\"MaxColumnCageDiameter\",\"The maximum column cage outside diameter that can be accommodated inside of the column oven.\""
"\"MaxColumnDiameter\",\"The maximum diameter of the column that can be attached to the instrument. Set by the distance between the column connectors and the body of the instrument.\""
"\"MaxColumnDiameter\",\"The maximum inner column diameter of the foam column that can be fitted on this foam agitation module.\""
"\"MaxColumnInternalDiameter\",\"The maximum column internal diameter (I.D.) that can be accommodated inside of the column oven.\""
"\"MaxColumnLength\",\"The maximum column length that can be accommodated inside of the column oven.\""
"\"MaxColumnOutsideDiameter\",\"The maximum column outside diameter that can be accommodated inside of the column oven.\""
"\"MaxColumnOutsideDiameter\",\"The maximum column outside diameter that can be accommodated inside of the detector/chromatography module.\""
"\"MaxColumnOvenTemperature\",\"The maximum temperature at which the column oven can incubate.\""
"\"MaxColumnTemperature\",\"The maximum temperature at which the column oven can incubate.\""
"\"MaxConductivityFlowCellTemperature\",\"The maximum temperature at which the conductivity flow cell of the instrument's conductivity detector can operate.\""
"\"MaxConductivity\",\"The maximum conductivity that the conductivity detector of this instrument can measure.\""
"\"MaxConeGasFlow\",\"The maximum nitrogen gas flow ejected around the sample inlet cone to encourage solvent cluster evaporation.\""
"\"MaxContactModeMeasurement\",\"The maximum detection value (in RPMs) for the contact sensor tachometer.\""
"\"MaxCoolGasFlowRate\",\"Maximum flow rate of argon gas to cool the wall of torch.\""
"\"MaxCoolingRate\",\"The fastest decrease in temperature that can be achieved per unit time.\""
"\"MaxCurrent\",\"The maximum current this instrument uses to generate the diffracting radiation.\""
"\"MaxCycleTime\",\"Maximum time the autoclave can run for.\""
"\"MaxCyclicVoltammetryPotential\",\"Indicates the maximum positive voltage / potential that the instrument can provide to the working electrode when performing cyclic voltammetry measurements.\""
"\"MaxDLSHydrodynamicRadius\",\"The maximum hydrodynamic radius of the analyte molecule that the Dynamic Light Scattering (DLS) detector of the instrument can detect.\""
"\"MaxDNase\",\"Maximum concentration of DNase the pure water should contain.\""
"\"MaxDeclusteringVoltage\",\"Maximum voltage that indicates the voltage between the ion block (the reduced-pressure chamber of the source block) and the stepwave ion guide (the optics before the quadrupole mass analyzer) for ESI-QTOF; Or the voltage applied between the orifice (where ions enter the mass spectrometer) and the ion guide to prevent the ionized small particles from aggregating together for ESI-QQQ.\""
"\"MaxDefaultTransfers\",\"Maximum number of repeated transfers that should be made in deciding if this model instrument is a good default instrument for performing a transfer manipulation.\""
"\"MaxDelayTime\",\"The maximum delay between laser ablation and ion extraction accepted by the instrument.\""
"\"MaxDeliveryPressure\",\"The maximum pressure at which the gas regulator delivers the gas from the gas source into the Schlenk manifold.\""
"\"MaxDensity\",\"Maximum density the instrument can measure.\""
"\"MaxDesolvationGasFlow\",\"The maximum nitrogen gas flow ejected around the ion source capillary to encourage solvent evaporation.\""
"\"MaxDesolvationTemperature\",\"The maximum temperature setting for the source desolvation heater that controls the nitrogen gas temperature used for solvent cluster evaporation before ions enter the mass spectrometer through the sampling cone.\""
"\"MaxDetectionSignal\",\"The scattering intensity at which signal will saturate the CCD detector.\""
"\"MaxDetectionTemperature\",\"The maximum temperature at which the detector can incubate.\""
"\"MaxDetectionVoltage\",\"The maximum potential different that the electrochemical detector can supply.\""
"\"MaxDetectorDistance\",\"The maximum distance the detector can be from the sample.\""
"\"MaxDetectorpH\",\"The maximum pH to which the pH detector of this instrument can measure.\""
"\"MaxDispensingSpeed\",\"Maximum speed reagent can be delivered to the read wells.\""
"\"MaxDissolvedOxygen\",\"Minimum concentration of dissolved oxygen the instrument can measure.\""
"\"MaxDistance\",\"The maximum liquid level distance that can be measured by this model of instrument.\""
"\"MaxDuration\",\"Maximum length of time that can be used to seal a plate.\""
"\"MaxESICapillaryVoltage\",\"Maximum voltage that can be applied to the stainless steel capillary from which the ion spray is generated.\""
"\"MaxElectrodeCurrent\",\"Indicates the maximum positive and negative current the instrument can provide between the working and the counter electrode for CyclicVoltammetry, and between the cathode and the anode for ConstantVoltage or ConstantCurrent.\""
"\"MaxElectrodeVoltage\",\"Indicates the maximum positive and negative voltage the instrument can provide on the electrode for ConstantVoltage or ConstantCurrent modes.\""
"\"MaxEmissionWavelength\",\"The maximum wavelength at which the fluorescence detector can take emission readings.\""
